Date,Region,Latitude,Longitude,Temperature (°C),Rainfall (mm)
2015-01-01,Lusaka,-15.4167,28.2833,19.71,15.97
2015-01-01,Copperbelt,-12.83,28.2116,23.78,45.93
2015-01-01,Eastern,-13.7894,32.6073,24.55,22.66
2015-01-01,Southern,-16.5833,27.8333,19.68,48.81
2015-01-01,Western,-14.5,23.25,23.75,33.63
2015-01-01,Northern,-10.9167,30.0833,20.47,33.14
2015-01-01,Luapula,-10.83,29.72,22.61,14.46
2015-01-01,Muchinga,-10.9,32.15,21.99,30.57
2015-01-01,Central,-14.0,28.0,24.3,44.12
2015-01-01,North-Western,-13.1833,24.8167,24.71,31.66
2015-01-02,Lusaka,-15.4167,28.2833,24.76,8.91
2015-01-02,Copperbelt,-12.83,28.2116,21.17,13.25
2015-01-02,Eastern,-13.7894,32.6073,20.81,10.5
2015-01-02,Southern,-16.5833,27.8333,24.73,14.46
2015-01-02,Western,-14.5,23.25,24.05,44.12
2015-01-02,Northern,-10.9167,30.0833,23.07,23.8
2015-01-02,Luapula,-10.83,29.72,21.26,40.46
2015-01-02,Muchinga,-10.9,32.15,20.8,16.56
2015-01-02,Central,-14.0,28.0,23.75,29.85
2015-01-02,North-Western,-13.1833,24.8167,21.71,27.8
2015-01-03,Lusaka,-15.4167,28.2833,23.52,30.52
2015-01-03,Copperbelt,-12.83,28.2116,21.08,44.53
2015-01-03,Eastern,-13.7894,32.6073,20.25,12.43
2015-01-03,Southern,-16.5833,27.8333,19.96,8.43
2015-01-03,Western,-14.5,23.25,22.62,12.01
2015-01-03,Northern,-10.9167,30.0833,24.55,6.93
2015-01-03,Luapula,-10.83,29.72,24.72,27.12
2015-01-03,Muchinga,-10.9,32.15,20.91,44.56
2015-01-03,Central,-14.0,28.0,24.84,42.97
2015-01-03,North-Western,-13.1833,24.8167,19.94,36.98
2015-01-04,Lusaka,-15.4167,28.2833,20.68,13.01
2015-01-04,Copperbelt,-12.83,28.2116,21.03,45.76
2015-01-04,Eastern,-13.7894,32.6073,19.69,34.09
2015-01-04,Southern,-16.5833,27.8333,22.35,41.02
2015-01-04,Western,-14.5,23.25,23.13,15.42
2015-01-04,Northern,-10.9167,30.0833,24.16,9.35
2015-01-04,Luapula,-10.83,29.72,20.0,31.83
2015-01-04,Muchinga,-10.9,32.15,21.26,47.22
2015-01-04,Central,-14.0,28.0,21.1,45.03
2015-01-04,North-Western,-13.1833,24.8167,23.93,45.87
2015-01-05,Lusaka,-15.4167,28.2833,20.0,31.69
2015-01-05,Copperbelt,-12.83,28.2116,24.9,11.54
2015-01-05,Eastern,-13.7894,32.6073,21.58,32.23
2015-01-05,Southern,-16.5833,27.8333,24.42,35.52
2015-01-05,Western,-14.5,23.25,21.83,22.84
2015-01-05,Northern,-10.9167,30.0833,20.51,19.55
2015-01-05,Luapula,-10.83,29.72,24.74,9.57
2015-01-05,Muchinga,-10.9,32.15,23.55,47.59
2015-01-05,Central,-14.0,28.0,22.67,44.93
2015-01-05,North-Western,-13.1833,24.8167,24.21,20.13
2015-01-06,Lusaka,-15.4167,28.2833,21.31,10.08
2015-01-06,Copperbelt,-12.83,28.2116,20.14,8.75
2015-01-06,Eastern,-13.7894,32.6073,22.74,16.23
2015-01-06,Southern,-16.5833,27.8333,25.32,8.89
2015-01-06,Western,-14.5,23.25,24.38,43.76
2015-01-06,Northern,-10.9167,30.0833,21.58,35.11
2015-01-06,Luapula,-10.83,29.72,22.04,45.5
2015-01-06,Muchinga,-10.9,32.15,21.07,7.61
2015-01-06,Central,-14.0,28.0,24.57,47.83
2015-01-06,North-Western,-13.1833,24.8167,22.04,19.31
2015-01-07,Lusaka,-15.4167,28.2833,20.87,33.73
2015-01-07,Copperbelt,-12.83,28.2116,22.16,37.77
2015-01-07,Eastern,-13.7894,32.6073,21.6,25.15
2015-01-07,Southern,-16.5833,27.8333,23.45,11.5
2015-01-07,Western,-14.5,23.25,23.28,45.8
2015-01-07,Northern,-10.9167,30.0833,23.55,39.72
2015-01-07,Luapula,-10.83,29.72,22.11,18.89
2015-01-07,Muchinga,-10.9,32.15,21.51,15.27
2015-01-07,Central,-14.0,28.0,22.04,33.73
2015-01-07,North-Western,-13.1833,24.8167,21.38,38.23
2015-01-08,Lusaka,-15.4167,28.2833,21.75,35.88
